ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
iload iload ifIcmplt iload iconst1,2,1,2,2,2,2,1,16818.3,,,,,,,,,
iload iload invokespecial iconst0 istore,2,1,2,2,,2,2,9647.2,,,,,,,,,
iload iload invokevirtual pop gotoInsn,2,,2,2,2,2,2,11755.2,,,,,,,,,
iload iload invokevirtual pop returnInsn,2,3,2,2,2,2,2,4160.45,,,,,,,,,
iload iload isub istore aload,2,2,2,2,,2,2,5748.18,,,,,,,,,
iload iload isub istore iconst0,2,2,2,2,1,2,2,7019.98,,,,,,,,,
iload iload isub istore iload,2,,2,2,,2,2,12228.9,,,,,,,,,
iload iload ldc iand isub,2,2,2,2,2,2,2,10121.6,,,,,,,,,
iload invokespecial aload aload aload,2,1,2,2,1,2,2,31116,,,,,,,,,
iload invokespecial iconst0 istore iload,2,1,2,2,,2,2,21730.2,,,,,,,,,
iload invokestatic istore iinc aload,2,,2,2,,2,2,19696,,,,,,,,,
iload invokestatic istore iload iconst3,2,,2,2,,2,2,24876.5,,,,,,,,,
iload invokevirtual aload invokespecial dupX2,2,2,2,2,1,2,2,2891.18,,,,,,,,,
iload invokevirtual bipush ifIcmpeq iinc,2,,2,2,,2,,3512.28,,,,,,,,,
iload invokevirtual iadd istore aload,2,2,2,2,,2,2,10769,,,,,,,,,
iload invokevirtual iaload invokevirtual i2b,2,1,2,2,2,2,2,4020.78,,,,,,,,,
iload invokevirtual iaload invokevirtual i2c,2,1,2,2,2,2,2,3066.4,,,,,,,,,
iload invokevirtual iaload invokevirtual i2s,2,1,2,2,2,2,2,4624.59,,,,,,,,,
iload invokevirtual iaload invokevirtual invokestatic,2,2,2,2,2,2,2,16022,,,,,,,,,
iload invokevirtual invokeinterface iload iconst1,2,1,2,2,2,2,2,32295.2,,,,,,,,,
iload invokevirtual invokespecial areturn newInsn,2,2,2,2,2,2,2,2639.63,,,,,,,,,
iload invokevirtual invokestatic invokespecial areturn,2,2,2,2,2,2,2,3782.13,,,,,,,,,
iload invokevirtual istore aload aload,2,,1,2,1,2,2,12886.8,,,,,,,,,
iload invokevirtual istore iload iconst2,2,6,2,2,1,2,2,24928.4,,,,,,,,,
iload invokevirtual pop aload astore,2,,2,2,1,2,2,17212,,,,,,,,,
iload istore aload getfield astore,2,,2,2,2,2,2,6030.2,,,,,,,,,
iload istore gotoInsn iload ldc,2,,2,2,,2,2,27113.3,,,,,,,,,
iload istore iload aload arraylength,2,,,2,,2,2,34200.6,,,,,,,,,
iload istore iload iconst4 iadd,2,2,2,2,,2,2,14399.2,,,,,,,,,
iload ldc iand aaload getfield,2,2,2,2,1,2,2,4731.49,,,,,,,,,
iload ldc iand iload ldc,2,2,2,2,,2,2,10539.4,,,,,,,,,
iload ldc ifIcmpne aload iload,2,2,2,1,,2,2,19087.9,,,,,,,,,
iload ldc ifIcmpne iconst0 ireturn,2,2,2,2,1,2,2,5421.37,,,,,,,,,
iload ldc ifIcmpne iload istore,2,,2,2,,2,2,15364.1,,,,,,,,,
iload ldc ifIcmpne ldc istore,2,2,2,2,,2,2,7876.57,,,,,,,,,
iload ldc ior invokespecial gotoInsn,2,,2,2,,2,2,4013.05,,,,,,,,,
iload newarray putfield aload getfield,2,,2,2,2,2,2,6254.87,,,,,,,,,
iload putfield aload getfield iload,2,2,2,3,1,2,2,6185.52,,,,,,,,,
iload sipush ifIcmpge aload iload,2,1,2,2,1,2,,17560.2,,,,,,,,,
iload sipush ifIcmpgt iload iconst1,2,2,2,2,2,2,,34471.4,,,,,,,,,
iload sipush ifIcmplt aload getfield,2,2,2,2,2,2,,6549.3,,,,,,,,,
iload sipush ifIcmpne aload invokespecial,2,2,2,1,2,2,,6893.07,,,,,,,,,
iload sipush ifIcmpne aload sipush,2,,2,2,2,2,,29425.4,,,,,,,,,
iload sipush isub istore iload,2,1,2,2,2,2,2,19961.1,,,,,,,,,
imul bipush iadd iadd istore,2,2,2,2,,2,2,6138.96,,,,,,,,,
imul iadd iand putfield returnInsn,2,2,2,2,2,2,2,4729.17,,,,,,,,,
ineg istore gotoInsn aload iload,2,,2,2,,2,2,16988.8,,,,,,,,,
instanceofInsn ifeq aload checkcast astore,2,1,2,2,2,2,,3509.22,,,,,,,,,
invokeinterface astore aload ifnull aload,2,,2,2,2,2,,2287.81,,,,,,,,,
invokeinterface gotoInsn aload aload invokeinterface,2,,2,2,2,2,2,2143.03,,,,,,,,,
invokeinterface gotoInsn aload iload aload,2,5,2,2,2,2,2,18695.8,,,,,,,,,
invokeinterface iconst1 istore iload iflt,2,,2,2,1,2,2,6508.34,,,,,,,,,
invokeinterface iinc iinc gotoInsn aload,2,,2,2,2,2,2,11996.7,,,,,,,,,
invokeinterface invokestatic istore iload iload,2,,2,2,,2,2,57645.1,,,,,,,,,
invokespecial aload dup getfield iconst2,2,,2,2,2,2,2,8038.49,,,,,,,,,
invokespecial aload getfield astore gotoInsn,2,,2,2,2,2,2,5658.86,,,,,,,,,
invokespecial aload getfield bipush invokevirtual,2,,2,2,2,2,2,5256.87,,,,,,,,,
invokespecial aload getfield ifne aload,2,,2,2,2,2,,10524,,,,,,,,,
invokespecial aload getfield ifnonnull aload,2,,2,2,2,2,1,6268.15,,,,,,,,,
invokespecial aload getfield iload invokevirtual,2,,2,2,2,2,2,1879.19,,,,,,,,,
invokespecial aload iconstM1 invokevirtual pop,2,2,2,2,2,2,2,7253.43,,,,,,,,,
invokespecial aload iload putfield aload,2,,2,2,2,2,2,5216.63,,,,,,,,,
invokespecial aload invokespecial istore aload,2,,2,2,,2,2,12048.4,,,,,,,,,
invokespecial aload newInsn dup invokespecial,2,,2,2,2,2,2,10882.7,,,,,,,,,
invokespecial astore aload getfield ireturn,2,2,2,,2,2,2,3058.75,,,,,,,,,
invokespecial astore aload iload putfield,2,,2,2,2,2,2,4804.2,,,,,,,,,
invokespecial gotoInsn aload getfield astore,2,,2,2,2,2,2,6224.41,,,,,,,,,
invokespecial gotoInsn aload iconst3 invokespecial,2,,2,2,2,2,2,6946.4,,,,,,,,,
invokespecial gotoInsn iload ldc iand,2,,2,2,,2,2,15279.2,,,,,,,,,
invokespecial iinc gotoInsn gotoInsn aload,2,,,2,,2,2,6358.76,,,,,,,,,
invokespecial iload ifle aload iload,2,2,2,2,2,2,2,20690.3,,,,,,,,,
invokespecial istore aload iload iload,2,,2,2,,2,2,10011,,,,,,,,,
invokespecial istore iconst4 istore iconst1,2,2,2,2,2,2,2,24322.4,,,,,,,,,
invokespecial istore iinc gotoInsn aload,2,,2,2,2,2,2,13708.8,,,,,,,,,
invokespecial istore iinc gotoInsn iload,2,,2,2,2,2,2,16046.2,,,,,,,,,
invokespecial istore iload ldc ifIcmpeq,2,,,2,,2,2,6194.78,,,,,,,,,
invokespecial pop aload iconst0 invokevirtual,2,,2,2,2,2,2,10708.5,,,,,,,,,
invokespecial putfield aload getfield aload,2,,2,2,2,2,2,4187.27,,,,,,,,,
invokespecial putfield aload newInsn dup,2,,2,2,2,2,2,2923.1,,,,,,,,,
invokespecial putstatic newInsn dup iconst1,2,1,2,2,2,2,2,31431.4,,,,,,,,,
invokespecial putstatic newInsn dup iconst2,2,2,2,2,2,2,2,20362.4,,,,,,,,,
invokespecial putstatic newInsn dup iconst3,2,2,2,2,2,2,2,28447.5,,,,,,,,,
invokespecial putstatic newInsn dup iconst4,2,2,2,2,2,2,2,18622,,,,,,,,,
invokespecial putstatic newInsn dup iconst5,2,2,2,2,2,2,2,17070,,,,,,,,,
invokestatic aload aload aload getfield,2,,2,2,2,2,2,19251.8,,,,,,,,,
invokestatic aload getfield ifnull aload,2,,2,2,2,2,2,5619.4,,,,,,,,,
invokestatic arraylength anewarray putfield aload,2,2,2,2,2,2,2,24359.4,,,,,,,,,
invokestatic astore aload aload getfield,2,,2,2,2,2,2,7769.68,,,,,,,,,
invokestatic iadd istore gotoInsn iload,2,,2,2,,2,2,12286.3,,,,,,,,,
invokestatic iinc gotoInsn aload getfield,2,,2,2,1,2,2,5912.41,,,,,,,,,
invokestatic istore aload iload putfield,2,,,2,,2,2,8522.51,,,,,,,,,
invokestatic istore iinc aload iload,2,,2,2,,2,2,18289.7,,,,,,,,,
invokestatic istore iload iconst3 iand,2,,2,2,,2,2,15931,,,,,,,,,
invokestatic istore iload iload ifIcmpge,2,,2,2,,2,2,5384.34,,,,,,,,,
invokestatic putfield aload ldc aload,2,,2,2,2,2,2,17503.4,,,,,,,,,
invokevirtual aastore iinc gotoInsn aload,2,,2,1,2,2,2,8901.24,,,,,,,,,
invokevirtual aastore iinc iinc gotoInsn,2,,2,2,1,2,2,11440.5,,,,,,,,,
invokevirtual aload aload aload invokevirtual,2,,2,2,2,2,2,4064.9,,,,,,,,,
invokevirtual aload aload putfield aload,2,,2,2,2,2,2,5341.42,,,,,,,,,
invokevirtual aload getfield aload arraylength,2,,2,2,2,2,2,6883.54,,,,,,,,,
invokevirtual aload getfield astore aload,2,,2,2,2,2,2,2985.27,,,,,,,,,
invokevirtual aload getfield getfield iconst0,2,2,2,2,2,2,2,11373.9,,,,,,,,,
invokevirtual aload iconstM1 aconstNull invokespecial,2,2,2,2,2,2,2,9246.38,,,,,,,,,
invokevirtual aload iload bipush iadd,2,2,2,2,2,2,2,16205,,,,,,,,,
invokevirtual aload invokespecial dupX2 aastore,2,2,2,2,2,2,2,12605.4,,,,,,,,,
invokevirtual aload invokevirtual invokeinterface iinc,2,,2,2,1,2,2,6104.47,,,,,,,,,
invokevirtual aload invokevirtual invokevirtual invokespecial,2,2,2,2,2,2,2,3371.06,,,,,,,,,
invokevirtual astore aload aload getfield,2,2,2,2,2,2,2,6110.39,,,,,,,,,
invokevirtual astore aload aload iload,2,,2,2,,2,2,34628.2,,,,,,,,,
invokevirtual astore aload getfield aload,2,,2,2,2,2,2,4266.79,,,,,,,,,
invokevirtual astore aload getfield invokevirtual,2,,2,2,2,2,2,3021.98,,,,,,,,,
invokevirtual astore aload ifnull aload,2,,2,2,2,2,,1992.34,,,,,,,,,
invokevirtual astore aload iload iconst2,2,1,2,2,2,2,2,19640.4,,,,,,,,,
invokevirtual astore aload iload iconst4,2,,2,2,2,2,2,25392.4,,,,,,,,,
invokevirtual astore iload ifeq aload,2,,2,2,2,2,,4713.82,,,,,,,,,
invokevirtual astore ldc aload aload,2,2,2,2,2,2,2,34357.5,,,,,,,,,
invokevirtual astore newInsn dup invokespecial,2,2,2,2,2,2,2,8076.73,,,,,,,,,
invokevirtual bipush bipush invokevirtual areturn,2,2,2,2,2,2,2,6108.08,,,,,,,,,
invokevirtual bipush ifIcmpeq iinc gotoInsn,2,,2,2,,2,,13410.8,,,,,,,,,
invokevirtual bipush ifIcmpne aload aload,2,2,2,2,2,2,2,8881.98,,,,,,,,,
invokevirtual bipush ifIcmpne iinc aload,2,,2,1,,2,,13339.4,,,,,,,,,
invokevirtual bipush ifIcmpne iinc gotoInsn,2,,1,1,,2,1,15534.7,,,,,,,,,
invokevirtual dup istore bipush ifIcmpne,2,3,2,2,,2,2,2636.84,,,,,,,,,
invokevirtual gotoInsn aload iload aload,2,,2,2,2,2,2,14580.1,,,,,,,,,
invokevirtual gotoInsn iload sipush ifIcmpne,2,2,2,2,2,2,2,5244.81,,,,,,,,,
invokevirtual iadd aaload aastore iinc,2,,2,2,,2,2,9589.58,,,,,,,,,
invokevirtual iadd aaload invokeinterface iinc,2,,2,1,,2,2,7538.47,,,,,,,,,
invokevirtual iadd istore iload aload,2,2,2,2,,2,2,20583.1,,,,,,,,,
invokevirtual iadd istore iload ireturn,2,2,2,2,1,2,2,6254.06,,,,,,,,,
invokevirtual iaload istore aload iload,2,,2,2,2,2,2,26223.8,,,,,,,,,
invokevirtual iaload istore iload ifne,2,,2,2,1,2,2,32443.2,,,,,,,,,
invokevirtual iastore gotoInsn aload getfield,2,,2,2,2,2,2,8588.01,,,,,,,,,
invokevirtual iastore iinc gotoInsn aload,2,,2,2,2,2,2,9884.02,,,,,,,,,
invokevirtual iconst1 isub invokevirtual astore,2,2,2,2,2,2,2,8992.36,,,,,,,,,
invokevirtual ifeq aload aload getfield,2,,2,2,2,2,,3933.25,,,,,,,,,
invokevirtual ifeq aload areturn aload,2,2,2,2,2,2,,7268.5,,,,,,,,,
invokevirtual ifeq aload getstatic ifAcmpne,2,2,2,2,2,2,,1527.61,,,,,,,,,
invokevirtual ifeq aload iload aaload,2,2,2,2,2,2,,11501.6,,,,,,,,,
invokevirtual ifeq iload iconst4 iand,2,2,2,2,2,2,,16356.5,,,,,,,,,
invokevirtual ifeq iload ifne iload,2,2,2,2,1,2,,11043.1,,,,,,,,,
invokevirtual iload iload invokevirtual pop,2,1,2,2,2,2,2,10891.4,,,,,,,,,
invokevirtual iload invokevirtual iload invokevirtual,2,2,2,2,,2,2,7438.25,,,,,,,,,
invokevirtual iload invokevirtual pop returnInsn,2,5,2,1,2,2,2,5444.62,,,,,,,,,
invokevirtual imul iadd iand putfield,2,2,2,2,2,2,2,9344.78,,,,,,,,,
invokevirtual invokeinterface iinc iinc gotoInsn,2,,2,2,1,2,2,12225.9,,,,,,,,,
invokevirtual invokeinterface iload iconst1 iadd,2,1,2,2,2,2,2,8561.8,,,,,,,,,
invokevirtual invokespecial areturn newInsn dup,2,2,2,2,2,2,2,10066.8,,,,,,,,,
invokevirtual invokevirtual gotoInsn aload aload,2,,2,2,2,2,2,3425.98,,,,,,,,,
invokevirtual invokevirtual pop aload iconst2,2,,2,2,2,2,2,20298.5,,,,,,,,,
invokevirtual invokevirtual pop newInsn dup,2,2,2,2,2,2,2,6654.69,,,,,,,,,
invokevirtual ior iastore iinc gotoInsn,2,,2,2,,2,2,14589.2,,,,,,,,,
invokevirtual ior istore gotoInsn ldc,2,,,2,,2,2,25877.8,,,,,,,,,
invokevirtual istore aload aload iload,2,,1,2,1,2,2,39774.1,,,,,,,,,
invokevirtual istore aload iload aaload,2,,2,2,2,2,2,14688.6,,,,,,,,,
invokevirtual istore gotoInsn ldc aload,2,,2,2,2,2,2,18571.8,,,,,,,,,
invokevirtual istore iload bipush iadd,2,6,2,2,,2,2,23851.9,,,,,,,,,
invokevirtual istore iload bipush ifIcmpne,2,,2,2,1,2,2,1862.92,,,,,,,,,
invokevirtual istore iload ifeq aload,2,,1,2,2,2,,4055.72,,,,,,,,,
invokevirtual pop aload aconstNull iconst0,2,,2,2,2,2,2,25986.1,,,,,,,,,
invokevirtual pop aload astore aload,2,,2,2,2,2,2,6442.93,,,,,,,,,
invokevirtual pop aload getfield aconstNull,2,,2,2,2,2,2,8465.26,,,,,,,,,
invokevirtual pop aload getfield iload,2,,2,1,2,2,2,6401.63,,,,,,,,,
invokevirtual pop aload iconst2 invokevirtual,2,,2,2,2,2,2,10137.3,,,,,,,,,
invokevirtual pop aload iconst3 iconst3,2,,2,2,2,2,2,22349.4,,,,,,,,,
invokevirtual pop aload invokevirtual astore,2,,2,2,2,2,2,4472.98,,,,,,,,,
invokevirtual pop iinc iinc gotoInsn,2,,11,2,,2,2,7162.44,,,,,,,,,
invokevirtual pop iload aload iload,2,,2,2,,2,2,31569.8,,,,,,,,,
invokevirtual putfield aload aload aload,2,,2,2,2,2,2,22430.3,,,,,,,,,
invokevirtual putfield aload aload putfield,2,,2,2,2,2,2,5334.62,,,,,,,,,
ior aload iload iconst2 iadd,2,2,2,2,2,2,2,11768,,,,,,,,,
ior aload iload iconst3 iadd,2,2,2,2,2,2,2,15228.8,,,,,,,,,
ior iastore gotoInsn aload iload,2,2,2,2,,2,2,16136.5,,,,,,,,,
ior istore gotoInsn iload ldc,2,1,1,2,,2,2,23706.1,,,,,,,,,
ior istore iinc gotoInsn iload,2,,2,2,,2,2,13051.3,,,,,,,,,
ior putfield aload dup getfield,2,1,2,2,2,2,2,6685.45,,,,,,,,,
irem ifne aload dup getfield,2,,2,2,2,2,,10278.5,,,,,,,,,
irem invokevirtual pop aload aload,2,,2,2,2,2,2,18500.7,,,,,,,,,
irem invokevirtual pop iload aload,2,,2,2,2,2,2,24272.2,,,,,,,,,
ireturn aload getfield iload iinc,2,,2,2,2,2,2,8259.54,,,,,,,,,
ireturn aload iload iconst1 iadd,2,1,2,2,2,2,2,12206.1,,,,,,,,,
ireturn iconst0 istore iload aload,2,,2,2,2,2,2,21273.6,,,,,,,,,
ireturn iload istore iconst0 istore,2,2,2,2,,2,2,17557.2,,,,,,,,,
ireturn iload ldc iand ldc,2,2,2,2,1,2,2,10614.5,,,,,,,,,
ishl iadd iload iadd istore,2,2,2,2,2,2,2,9243.79,,,,,,,,,
ishl iload bipush iand ior,2,1,2,2,,2,2,6870.04,,,,,,,,,
ishl ior aload iload iconst2,2,2,2,2,2,2,2,24170.1,,,,,,,,,
ishl ior aload iload iconst3,2,2,2,2,2,2,2,20559.8,,,,,,,,,
ishr gotoInsn iconst4 iadd ireturn,2,2,2,1,2,2,2,7308.13,,,,,,,,,
ishr iadd iload iconst3 iand,2,2,2,2,2,2,2,27453.3,,,,,,,,,
ishr isub iload iconst3 iand,2,2,2,2,,2,2,20737.4,,,,,,,,,
istore aconstNull astore aload iload,2,1,2,2,1,2,2,41949,,,,,,,,,
istore aconstNull astore iconst0 istore,2,2,1,2,1,2,2,9475.66,,,,,,,,,
istore aload astore aload ifnull,2,,2,2,2,2,3,7476.55,,,,,,,,,
istore aload getfield aload dup,2,1,2,2,,2,2,14467,,,,,,,,,
istore aload getfield aload getfield,2,1,2,2,1,2,5,2291.7,,,,,,,,,
istore aload getfield arraylength iconst1,2,2,2,2,,2,2,6501.97,,,,,,,,,
istore aload getfield arraylength istore,2,2,1,2,2,2,2,2633.29,,,,,,,,,
istore aload getfield getfield ifle,2,2,2,2,,2,2,3062.29,,,,,,,,,
istore aload getfield ifeq iinc,2,1,2,2,,2,1,8040.81,,,,,,,,,
istore aload getfield ifnonnull aload,2,,2,2,2,2,2,5912.21,,,,,,,,,
istore aload getfield iload iconst1,2,,2,2,1,2,2,13346.8,,,,,,,,,
istore aload getfield iload ifIcmplt,2,2,2,2,2,2,2,1325.36,,,,,,,,,
istore aload getfield iload iinc,2,,2,2,1,2,4,4732.72,,,,,,,,,
istore aload getfield istore iload,2,1,1,2,,2,8,13947.6,,,,,,,,,
istore aload getfield sipush invokevirtual,2,,2,2,,2,2,9440.83,,,,,,,,,
istore aload ifnonnull aload getfield,2,2,2,2,2,2,,5504.37,,,,,,,,,
istore aload iload aload invokevirtual,2,,2,2,2,2,2,8648.92,,,,,,,,,
istore aload iload iload iadd,2,2,2,2,2,2,2,12511.8,,,,,,,,,
istore aload iload iload invokespecial,2,,2,2,,2,2,4846.13,,,,,,,,,
istore aload iload invokevirtual bipush,2,2,2,,,2,2,13498.1,,,,,,,,,
istore aload iload invokevirtual dup,2,5,3,2,2,2,2,11405.1,,,,,,,,,
istore aload sipush invokevirtual pop,2,,2,2,,2,2,19463.9,,,,,,,,,
istore gotoInsn aload iload aload,2,1,2,2,1,2,2,10233.9,,,,,,,,,
istore gotoInsn aload iload baload,2,,2,2,,2,2,4457.42,,,,,,,,,
istore gotoInsn aload iload invokevirtual,2,,2,2,2,2,2,3164.07,,,,,,,,,
istore gotoInsn iload aload getfield,2,,2,2,,2,2,5682.86,,,,,,,,,
istore gotoInsn iload sipush ifIcmpge,2,,2,2,2,2,2,9700.74,,,,,,,,,
istore iconst0 istore gotoInsn iconst0,2,,2,2,2,2,2,18717.1,,,,,,,,,
istore iconst0 istore iload aload,2,1,1,2,,2,3,15688.6,,,,,,,,,
istore iconst1 istore gotoInsn aload,2,,2,2,2,2,2,8178.8,,,,,,,,,
istore iconst1 istore gotoInsn iload,2,1,2,2,1,2,2,13874.8,,,,,,,,,
istore iconst4 istore iconst1 istore,2,2,2,2,2,2,2,10824.4,,,,,,,,,
istore iinc aload iload invokevirtual,2,,2,2,,2,2,4198.29,,,,,,,,,
istore iinc gotoInsn iload ifle,2,,2,2,1,2,2,3477.07,,,,,,,,,
istore iload aload getfield ifIcmplt,2,,2,2,,2,2,1437.41,,,,,,,,,
istore iload aload iload iconst1,2,,2,2,,2,2,25124.4,,,,,,,,,
istore iload aload iload invokevirtual,2,2,2,2,,2,2,4149.75,,,,,,,,,
istore iload anewarray astore iload,2,,2,2,,2,2,14743.9,,,,,,,,,
istore iload bipush iand ifeq,2,2,2,2,2,2,2,3355.97,,,,,,,,,
istore iload bipush iand ifne,2,2,2,2,1,2,2,8659.47,,,,,,,,,
istore iload bipush ifIcmpne aload,2,,2,2,1,2,1,6064.96,,,,,,,,,
istore iload iconst2 iadd aload,2,3,2,2,2,2,2,10878.5,,,,,,,,,
istore iload iconst2 iadd istore,2,2,2,2,2,2,2,5572.86,,,,,,,,,
istore iload iconst3 iand ineg,2,,2,2,,2,2,5431.62,,,,,,,,,
istore iload iconst4 iadd iload,2,2,2,2,,2,2,18353.3,,,,,,,,,
istore iload iflt iload iload,2,,2,2,1,2,,14770.3,,,,,,,,,
istore iload ifne aconstNull gotoInsn,2,,2,2,1,2,,8359.93,,,,,,,,,
istore iload ifne aload getfield,2,,2,2,2,2,2,3818.11,,,,,,,,,
istore iload iload ifIcmplt iload,2,1,2,2,2,2,2,4741.94,,,,,,,,,
istore iload istore aload iload,2,1,2,2,,2,2,9178.38,,,,,,,,,
istore iload ldc iand ifeq,2,2,2,2,,2,2,3892.86,,,,,,,,,
istore iload sipush ifIcmplt iload,2,,2,2,,2,2,10924.1,,,,,,,,,
istore iload sipush ifIcmpne iinc,2,,2,2,,2,,8119.14,,,,,,,,,
istore iload sipush isub istore,2,1,2,2,1,2,2,6582.77,,,,,,,,,
istore istore iinc iconst0 istore,2,,2,2,,2,2,10643.7,,,,,,,,,
istore newInsn dup iload invokespecial,2,2,2,2,,2,2,4319.32,,,,,,,,,
isub aload iconst0 aload aload,2,2,2,2,2,2,2,30701.3,,,,,,,,,
isub gotoInsn iload bipush isub,2,2,2,2,2,2,2,10805.3,,,,,,,,,
isub gotoInsn iload iconst1 ixor,2,2,2,2,2,2,2,13119.2,,,,,,,,,
isub iconst1 iadd istore iinc,2,,2,2,,2,2,16484.5,,,,,,,,,
isub iconst1 isub istore iload,2,1,2,2,,2,2,9421.26,,,,,,,,,
isub iconst2 ishl iadd iload,2,2,2,2,2,2,2,23180.6,,,,,,,,,
isub iload bipush iadd i2b,2,2,2,2,2,2,2,6786.08,,,,,,,,,
isub iload iconst3 iand iadd,2,2,2,2,,2,2,18667.6,,,,,,,,,
isub iload ldc ior invokespecial,2,2,2,2,,2,2,10094.1,,,,,,,,,
isub imul iadd iadd istore,2,2,2,2,,2,2,8768.33,,,,,,,,,
isub invokespecial istore iload ldc,2,,,2,,2,2,31335.6,,,,,,,,,
isub invokevirtual aload getfield aload,2,2,2,2,2,2,2,8347.77,,,,,,,,,
isub invokevirtual astore iload ifeq,2,,2,2,2,2,2,5430.91,,,,,,,,,
isub invokevirtual astore ldc aload,2,2,2,2,2,2,2,22388.8,,,,,,,,,
isub istore aload iload aload,2,,2,2,,2,2,18479.2,,,,,,,,,
isub istore aload sipush invokevirtual,2,2,2,2,,2,2,9408.28,,,,,,,,,
isub istore iconst0 istore iload,2,1,,2,,2,2,15540.6,,,,,,,,,
isub istore iload aload getfield,2,,,2,,2,2,8105.78,,,,,,,,,
isub ldc invokespecial gotoInsn iload,2,,2,2,,2,2,16347.3,,,,,,,,,
iushr i2b bastore aload aload,2,,2,2,2,2,2,19765.9,,,,,,,,,
ixor iconst1 isub gotoInsn iload,2,2,2,2,2,2,2,38177.3,,,,,,,,,
l2i istore aload iload iinc,2,,,2,,2,2,19475.5,,,,,,,,,
ldc aload aload getfield invokevirtual,2,,2,2,2,2,2,2995.23,,,,,,,,,
ldc aload getfield aload iload,2,2,2,2,,2,2,22339.7,,,,,,,,,
ldc aload getfield ldc aload,2,2,2,2,2,2,2,9619.06,,,,,,,,,
ldc aload iload aaload checkcast,2,2,2,2,,2,2,9982.31,,,,,,,,,
ldc astore iconst0 istore iload,2,,,2,2,2,2,16496.2,,,,,,,,,
ldc iand bipush ifIcmplt iconst1,2,2,2,2,2,2,2,9437.6,,,,,,,,,
ldc iand bipush ishr gotoInsn,2,2,2,2,2,2,2,8327.02,,,,,,,,,
ldc iand ifeq iinc iinc,2,,6,2,,2,,7580.6,,,,,,,,,
ldc iand iload ldc iand,2,2,2,2,,2,2,25709.7,,,,,,,,,
ldc iand ldc ifIcmpeq aload,2,2,2,2,2,2,2,14034.5,,,,,,,,,
ldc iand ldc ifIcmpne aload,2,2,2,2,2,2,1,11725.1,,,,,,,,,
ldc iand ldc ifIcmpne iload,2,2,2,2,1,2,3,23172,,,,,,,,,
ldc ifIcmpeq aload iload iconst1,2,2,2,2,2,2,2,35710.1,,,,,,,,,
ldc ifIcmpne aload getfield iload,2,2,2,2,1,2,2,12528.5,,,,,,,,,
ldc ifIcmpne aload iload iconst1,2,2,2,1,2,2,2,25993.6,,,,,,,,,
ldc ifIcmpne iload istore gotoInsn,2,,2,2,,2,2,11882.5,,,,,,,,,
ldc ifIcmpne iload ldc iand,2,2,2,2,2,2,2,12866.8,,,,,,,,,
ldc iload aload invokevirtual aload,2,2,2,2,2,2,2,3304.66,,,,,,,,,
ldc invokespecial gotoInsn aload getfield,2,,2,2,2,2,2,7353.78,,,,,,,,,
ldc invokespecial gotoInsn iload ldc,2,,2,2,,2,2,38446.9,,,,,,,,,
ldc invokevirtual invokevirtual iload invokevirtual,2,,2,2,1,2,2,8138.56,,,,,,,,,
ldc invokevirtual ior invokespecial gotoInsn,2,,2,2,2,2,2,4586.27,,,,,,,,,
ldc invokevirtual ior istore gotoInsn,2,,,1,,2,2,12488.8,,,,,,,,,
ldc ior invokespecial gotoInsn aload,2,,2,2,2,2,2,19626.8,,,,,,,,,
ldc ireturn ldc ireturn ldc,2,1,2,2,2,2,2,14274.3,,,,,,,,,
newarray astore ldc astore iconst0,2,,2,2,2,2,2,12937.7,,,,,,,,,
newarray putfield iconst1 istore iconst0,2,,2,2,2,2,2,6870.43,,,,,,,,,
newInsn dup aload getfield invokespecial,2,2,2,2,2,2,2,4868.25,,,,,,,,,
newInsn dup aload iload aload,2,2,2,2,2,2,2,14341.6,,,,,,,,,
newInsn dup bipush aload iload,2,2,2,2,2,2,2,39896.1,,,,,,,,,
newInsn dup iload invokespecial astore,2,1,2,2,,2,2,5473.84,,,,,,,,,
newInsn dup invokespecial astore gotoInsn,2,,2,2,2,2,2,5838.9,,,,,,,,,
newInsn dup invokespecial ldc invokevirtual,2,,2,2,2,2,2,6199.9,,,,,,,,,
pop aload aconstNull iconst0 iconst4,2,,2,2,2,2,2,14148.7,,,,,,,,,
pop aload astore aload ifnull,2,,2,2,2,2,2,8405.88,,,,,,,,,
pop aload getfield aconstNull iconst0,2,,2,2,2,2,2,8609.89,,,,,,,,,
pop aload getfield aload ifnonnull,2,2,2,2,2,2,2,14269.3,,,,,,,,,
pop aload getfield astore aload,2,,2,2,2,2,2,3760.41,,,,,,,,,
pop aload getfield bipush aload,2,2,2,1,2,2,2,7133.26,,,,,,,,,
pop aload getfield ifeq iinc,2,2,2,2,,2,,10346.7,,,,,,,,,
pop aload getfield iload invokevirtual,2,,2,2,2,2,2,1997.73,,,,,,,,,
pop aload iconst0 invokevirtual bipush,2,,2,2,2,2,2,24415.3,,,,,,,,,
pop aload iconst2 invokevirtual aload,2,,2,2,2,2,2,4087.17,,,,,,,,,
pop aload iconst3 iconst3 iload,2,,2,2,,2,2,16143.4,,,,,,,,,
pop aload iload invokestatic istore,2,,2,2,,2,2,10128.5,,,,,,,,,
pop gotoInsn aload aload getfield,2,,2,2,2,2,2,6154.68,,,,,,,,,
pop gotoInsn iload bipush ifIcmpge,2,1,2,2,,2,2,3335.33,,,,,,,,,
